,Author,Quotes,Likes,Tags
99,Roy T. Bennett,“Don't Just,5641,"['act', 'action', 'change', 'criticize', 'doing', 'dream', 'dreams', 'encouragement', 'experience', 'feeling', 'giving', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'listening', 'living', 'optimism', 'optimistic', 'ponder', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thinking', 'transform']"
100,Roy T. Bennett,"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”",5603,"['authentic-living', 'being-positive', 'blessed', 'compassion', 'hate', 'inspiration', 'inspirational', 'inspirational-quotes', 'judgment', 'less-more', 'life', 'life-purpose', 'life-quotes', 'living', 'love', 'mind', 'motivation', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles', 'spirituality', 'stress', 'stressed', 'worry', 'worrying']"
101,Margaret Mitchell,“Life's under no obligation to give us what we expect.”,5583,"['expectation', 'hope', 'life']"
102,Roy T. Bennett,"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”",5535,"['appreciate', 'change', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'laugh', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'relationship', 'respect', 'smile', 'value']"
103,Lao Tzu,"“Simplicity, patience, compassion.",5506,"['inspirational', 'life', 'philosophy']"
104,Haruki Murakami,"“Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ”",5390,"['disappointment', 'friends', 'friendship', 'life', 'loneliness']"
105,E. E. Cummings,“Unbeing dead isn't being alive.”,5385,"['death', 'life', 'poetry']"
106,Hunter S. Thompson,"“Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!”",5348,"['adventure', 'death', 'life']"
107,Steve Maraboli,"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”",5231,"['forgiveness', 'inspirational', 'letting-go', 'life', 'motivational', 'moving-forward', 'truth']"
108,Albert Schweitzer,"“Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.”",5196,"['inspirational', 'life', 'spiritual', 'uplifting']"
109,Roy T. Bennett,"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”",5188,"['focus', 'future', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'letting-go-of-the-past', 'life', 'life-and-living', 'life-quotes', 'live', 'living', 'living-in-the-present', 'living-life', 'living-life-to-the-fullest', 'living-now', 'worry']"
110,Shel Silverstein,“How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.”,5180,"['friend', 'friendship', 'good-day', 'how-many', 'how-much', 'life', 'live-well', 'love']"
111,Roy T. Bennett,“Life becomes easier and more beautiful when we can see the good in other people.”,5168,"['goodness', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
112,John Green,“Some people have lives; some people have music.”,5085,"['humor', 'life', 'music']"
113,Stephanie Klein,"“Tell the truth, or someone will tell it for you.”",5053,"['humor', 'life', 'memoir', 'truth']"
114,Kalu Ndukwe Kalu,"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",5041,"['hope', 'inspiration', 'inspirational', 'life', 'truth']"
115,Steve Maraboli,“Dare to Be,5039,"['compassion', 'dare-to-be', 'gratitude', 'inspirational', 'life', 'motivational', 'seize-the-day', 'smile', 'success']"
116,Langston Hughes,“Life is for the living.,4997,"['death', 'life', 'music']"
117,Terry Pratchett,"“If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.”",4971,"['cats', 'humor', 'life']"
118,Cassandra Clare,"“People aren't born good or bad. Maybe they're born with tendencies either way, but its the way you live your life that matters.”",4921,"['bad', 'good', 'life']"
119,Roy T. Bennett,"“Success is not how high you have climbed, but how you make a positive difference to the world.”",4896,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']"
120,Roy T. Bennett,"“You cannot control the behavior of others, but you can always choose how you respond to it.”",5520,"['choices', 'choose', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
121,Friedrich Nietzsche,“He who has a why to live for can bear almost any how.”,4813,"['how', 'life', 'purpose', 'questioning', 'questions', 'why']"
122,G.K. Chesterton,"“The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.”",4775,"['life', 'passion', 'war']"
